E	Xs54	E	xs56	E	xs57	E	xs58
2.99E+01	3.66E-29	2.99E+01	0.00E+00	2.99E+01	0.00E+00		
3.00E+01	4.40E-30	3.00E+01	0.00E+00	3.00E+01	0.00E+00		
3.01E+01	5.10E-31			3.01E+01	0.00E+00		
3.02E+01	5.68E-32			3.02E+01	0.00E+00		
3.03E+01	6.08E-33			3.03E+01	0.00E+00		
3.04E+01	6.25E-34			3.04E+01	0.00E+00		
3.05E+01	6.19E-35			3.05E+01	0.00E+00		
3.06E+01	5.89E-36			3.06E+01	0.00E+00		
3.07E+01	5.39E-37			3.07E+01	0.00E+00		
3.08E+01	4.74E-38			3.08E+01	0.00E+00		
3.09E+01	4.01E-39			3.09E+01	0.00E+00		
3.10E+01	3.26E-40			3.10E+01	0.00E+00		
3.11E+01	2.55E-41						
3.12E+01	1.91E-42						
3.13E+01	1.37E-43						
3.14E+01	9.81E-45						
3.15E+01	0.00E+00						
3.16E+01	0.00E+00						
3.17E+01	0.00E+00						
3.18E+01	0.00E+00						
3.19E+01	0.00E+00						
3.20E+01	0.00E+00						
3.21E+01	0.00E+00						
3.22E+01	0.00E+00						
3.23E+01	0.00E+00						
3.24E+01	0.00E+00						
3.25E+01	0.00E+00						
3.26E+01	0.00E+00						
3.27E+01	0.00E+00						
3.28E+01	0.00E+00						
3.29E+01	0.00E+00						
3.30E+01	0.00E+00						
